parents_count	thing_to
1	/thing:16595
1	/thing:16610
1	/thing:16620
1	/thing:16622
1	/thing:16625
1	/thing:16626
1	/thing:16642
1	/thing:16643
1	/thing:16652
1	/thing:16664
1	/thing:16681
1	/thing:16684
1	/thing:16687
1	/thing:16701
1	/thing:16704
1	/thing:16713
1	/thing:1672
1	/thing:16721
1	/thing:16741
1	/thing:16745
1	/thing:16747
1	/thing:16762
1	/thing:16775
1	/thing:16779
1	/thing:16813
1	/thing:16815
1	/thing:16824
1	/thing:16827
1	/thing:1684
1	/thing:16852
1	/thing:16856
1	/thing:16857
1	/thing:16864
1	/thing:16881
1	/thing:16883
1	/thing:16884
1	/thing:16887
1	/thing:16888
1	/thing:16893
1	/thing:16897
1	/thing:16904
1	/thing:16909
1	/thing:16911
1	/thing:16919
1	/thing:16920
1	/thing:16921
1	/thing:16923
1	/thing:16928
1	/thing:16944
1	/thing:16946
1	/thing:16951
1	/thing:16958
1	/thing:16961
1	/thing:16968
1	/thing:16972
1	/thing:16973
1	/thing:16987
1	/thing:16995
1	/thing:17009
1	/thing:17011
1	/thing:17019
1	/thing:17023
1	/thing:17026
1	/thing:17027
1	/thing:17028
1	/thing:17029
1	/thing:17031
1	/thing:17032
1	/thing:17046
1	/thing:17048
1	/thing:17056
1	/thing:17077
1	/thing:1709
1	/thing:17108
1	/thing:17120
1	/thing:17129
1	/thing:17144
1	/thing:17147
1	/thing:17149
1	/thing:17165
1	/thing:17170
1	/thing:17173
1	/thing:17174
1	/thing:17181
1	/thing:17188
1	/thing:17191
1	/thing:17192
1	/thing:17197
1	/thing:17200
1	/thing:17215
1	/thing:17216
1	/thing:17217
1	/thing:17234
1	/thing:17252
1	/thing:17261
1	/thing:17267
1	/thing:17268
1	/thing:17272
1	/thing:17278
1	/thing:17284
1	/thing:17299
1	/thing:17303
1	/thing:17304
1	/thing:17309
1	/thing:17313
1	/thing:17316
1	/thing:17331
1	/thing:17359
1	/thing:17367
1	/thing:17388
1	/thing:17390
1	/thing:17392
1	/thing:17394
1	/thing:17395
1	/thing:17397
1	/thing:17400
1	/thing:17408
1	/thing:17409
